"Date","Région","Plage de puissance injection","Filière de production","Nombre points injection"
"2025-06-29","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-06-29","OCCITANIE","P2 : ]3 - 9] kW","F0 : Total toutes filières",82140
"2025-06-29","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-09-29","OCCITANIE","P0 : Total toutes puissances","F2 : Bioénergies",49
"2025-09-29","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",4937
"2025-09-29","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-09-29","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-06-29","OCCITANIE","P1 : ]0 - 3] kW","F0 : Total toutes filières",93856
"2025-06-29","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-06-29","OCCITANIE","P6 : ]1000 - 12000] kW","F6 : Autres",27
"2025-06-29","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",17
"2025-06-29","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14103
"2025-06-29","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",93846
"2025-06-29","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",75
"2025-06-29","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-06-29","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-06-29","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",293
"2025-06-29","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-06-29","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-06-29","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",4684
"2025-09-29","OCCITANIE","P0 : Total toutes puissances","F1 : Thermique non renouvelable",49
"2025-09-29","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",201400
"2025-09-29","OCCITANIE","P3 : ]9 - 100] kW","F0 : Total toutes filières",14749
"2025-09-29","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-09-29","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-06-29","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",175
"2025-06-29","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",4538
"2025-06-29","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-06-29","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-09-29","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",646
"2025-09-29","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",2
"2025-09-29","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",85779
